# Time(s)	Magnetic_Field(uT)
1.250267028808593750e-02	1.305908223102695646e-05
6.115698814392089844e-02	-1.007559680070075795e-05
7.316398620605468750e-02	8.431976502854156077e-06
8.524966239929199219e-02	3.619338365869537974e-05
9.709644317626953125e-02	-1.932971385603179598e-05
1.101446151733398438e-01	-3.783747596161793445e-05
1.215415000915527344e-01	-2.858373651034723111e-05
1.344385147094726562e-01	8.431504497778208326e-06
1.465032100677490234e-01	7.783516398890206382e-05
1.588933467864990234e-01	5.932740188331697906e-05
1.705760955810546875e-01	-6.097253259740703895e-05
1.819460391998291016e-01	8.246179771199996678e-05
1.935510635375976562e-01	3.156561712341541225e-05
2.057933807373046875e-01	3.804021165544017005e-06
2.172040939331054688e-01	-3.321140864461158892e-05
2.286968231201171875e-01	3.619225084651227166e-05
2.408661842346191406e-01	-1.470392974207228626e-05
2.526199817657470703e-01	-2.858477492151473629e-05
2.643890380859375000e-01	1.305738301275333111e-05
2.757921218872070312e-01	1.305728861173877344e-05
2.873318195343017578e-01	-3.321197505070314635e-05
2.989852428436279297e-01	-9.336198949157296359e-05
3.115539550781250000e-01	3.803171556407730758e-06
3.233580589294433594e-01	-1.470459054917840305e-05
3.348472118377685547e-01	7.783365357265861089e-05
3.463404178619384766e-01	-8.240285727806801539e-07
3.581006526947021484e-01	-4.246637530907997326e-05
3.698570728302001953e-01	-1.933188507938137247e-05
3.816761970520019531e-01	-5.172039796339539822e-05
3.934962749481201172e-01	-7.948199392126680278e-05
4.053218364715576172e-01	-1.007833443014189188e-05
4.170298576354980469e-01	7.320607583940985598e-05
4.289493560791015625e-01	-3.784002478902889934e-05
4.410824775695800781e-01	-9.336312230375503490e-05
4.529995918273925781e-01	-6.097479822177221835e-05
4.648044109344482422e-01	5.469803053077899928e-05
4.765641689300537109e-01	-4.246731931923186876e-05
4.883308410644531250e-01	4.544400787646251045e-05
5.005054473876953125e-01	-1.118712620134014945e-04
5.124883651733398438e-01	1.768231751757656008e-05
5.240800380706787109e-01	-1.007927844029378738e-05
5.355803966522216797e-01	1.305521178940375631e-05
5.475227832794189453e-01	1.055934559112407703e-04
5.590984821319580078e-01	-1.470647856948219914e-05
5.713152885437011719e-01	-4.709499145349622658e-05
5.830309391021728516e-01	-9.799117204208076756e-05
5.947566032409667969e-01	1.768165671047043991e-05
6.066570281982421875e-01	5.469689771859587765e-05
6.186099052429199219e-01	-8.411070446669760190e-05
6.301915645599365234e-01	-1.470704497557375826e-05
6.420040130615234375e-01	-5.172247478573041536e-05
6.767737865447998047e-01	-5.453399925318664596e-06
6.884312629699707031e-01	-8.411108207075901062e-05
7.001562118530273438e-01	-1.933433950577777800e-05
7.120125293731689453e-01	2.230781842849134479e-05
7.236196994781494141e-01	-7.485753142151951986e-05
7.352480888366699219e-01	-6.560379197024882329e-05
7.469923496246337891e-01	-5.453966331410224566e-06
7.583799362182617188e-01	-1.303808177382768680e-04
7.699601650238037109e-01	2.230734642341539365e-05
7.818875312805175781e-01	3.799584317829257726e-06
7.935254573822021484e-01	3.799489916813648047e-06
8.050603866577148438e-01	-5.172360759791247989e-05
8.167288303375244141e-01	5.932230422849504929e-05
8.284475803375244141e-01	5.932220982748049671e-05
8.402135372161865234e-01	2.230678001732383622e-05
8.522517681121826172e-01	9.633735643459032138e-05
8.642981052398681641e-01	-1.118739996428426284e-04
8.756999969482421875e-01	1.767957988813542616e-05
8.873882293701171875e-01	5.932173782240349186e-05
8.993694782257080078e-01	-2.396286124917842503e-05
9.113464355468750000e-01	4.081388131580280420e-05
9.231474399566650391e-01	-5.455382346638071207e-06
9.350235462188720703e-01	1.305219095691684367e-05
9.467723369598388672e-01	-7.485932504080875828e-05
9.586210250854492188e-01	-5.172483481111015411e-05
9.706583023071289062e-01	-3.784417843369787651e-05
9.831240177154541016e-01	1.305181335285650560e-05
9.953596591949462891e-01	-5.455948752729629483e-06
1.007432699203491211e+00	6.857462766453686583e-05
1.018532514572143555e+00	-1.470997140704505953e-05
1.030416250228881836e+00	-1.211291551093411953e-04
1.042080879211425781e+00	5.469359368306318629e-05
1.054399967193603516e+00	2.693199772519283883e-05
1.066456317901611328e+00	-6.097951827253275295e-05
1.077991247177124023e+00	-7.486036345197520636e-05
1.089835643768310547e+00	-2.859128859156451270e-05
1.101695537567138672e+00	-5.635288454943591387e-05
1.113364219665527344e+00	3.796941089403734751e-06
1.125355958938598633e+00	3.155834824524391275e-05
1.136784315109252930e+00	-2.396474926948327313e-05
1.148627996444702148e+00	5.931966100006952504e-05
1.160846948623657227e+00	3.618498196834076539e-05
1.173274278640747070e+00	-2.859194939867062949e-05
1.184915065765380859e+00	-1.471129302125835020e-05
1.196647644042968750e+00	-1.933830434841658953e-05
1.208121538162231445e+00	-1.008456489714588619e-05
1.220326900482177734e+00	1.304992533255165919e-05
1.232231616973876953e+00	3.618441556224920796e-05
1.244145631790161133e+00	4.543815501351991130e-05
1.256072998046875000e+00	8.422725203363247431e-06
1.286875009536743164e+00	5.469180006377500497e-05
1.298221111297607422e+00	8.708012414575780119e-05
1.309962987899780273e+00	-2.859289340882357870e-05
1.321434497833251953e+00	3.618384915615869407e-05
1.333167076110839844e+00	-2.859308221085374774e-05
1.344787120819091797e+00	3.155674342798589369e-05
1.356455564498901367e+00	-2.859327101288391677e-05
1.368045806884765625e+00	-5.458780783186373933e-06
1.379735231399536133e+00	1.767570944651222431e-05
1.391481161117553711e+00	-8.320526590739117243e-07
1.403238058090209961e+00	3.794769866053108783e-06
1.415298223495483398e+00	-8.322414611040807605e-07
1.427614212036132812e+00	-5.172842204968863095e-05
1.439321994781494141e+00	9.170590825971836123e-05
1.451178073883056641e+00	-3.784786007329090594e-05
1.463247537612915039e+00	1.304813171326242246e-05
1.475215435028076172e+00	8.245179120438732659e-05
1.487941026687622070e+00	-5.635581098090721006e-05
1.499948978424072266e+00	1.102131039592118953e-04
1.511940956115722656e+00	-5.172908285679474774e-05
1.523885250091552734e+00	2.230149356047173741e-05
1.535628080368041992e+00	7.319748534702611613e-05
1.547416210174560547e+00	-8.874470146898157726e-05
1.559240102767944336e+00	-4.710254353471351156e-05
1.571351766586303711e+00	-1.471421945272965146e-05
1.583596944808959961e+00	5.468944003839420912e-05
1.595435619354248047e+00	-3.322207595933139622e-05
1.607477426528930664e+00	2.230083275336561724e-05
1.619681596755981445e+00	-5.460763204505778850e-06
