# Time(s)	Magnetic_Field(uT)
1.169633865356445312e-02	-1.821619913868004995e-04
6.418371200561523438e-02	-1.687985075659056522e-04
7.633090019226074219e-02	1.789652737876659921e-04
8.777761459350585938e-02	2.111580527183092712e-05
9.977293014526367188e-02	1.762650152465814705e-04
1.115567684173583984e-01	5.586838005440603809e-05
1.231808662414550781e-01	-8.325467179959796546e-05
1.351506710052490234e-01	2.003042524276987780e-04
1.475353240966796875e-01	-9.398053748146672777e-05
1.595525741577148438e-01	-1.234202917447531193e-04
1.712613105773925781e-01	4.510493013130316924e-05
1.828966140747070312e-01	8.254523537455187010e-05
1.955013275146484375e-01	-3.250099505710071258e-05
2.072808742523193359e-01	-1.207952016861380304e-04
2.190492153167724609e-01	1.547381154003744995e-04
2.308924198150634766e-01	-3.521378167859622364e-05
2.425863742828369141e-01	-6.465353594188385524e-05
2.541849613189697266e-01	-1.651242117758953634e-05
2.658123970031738281e-01	4.767990786827320962e-05
2.774071693420410156e-01	7.976980835099788851e-05
2.892010211944580078e-01	-5.400283874248331279e-05
3.014392852783203125e-01	-2.065019024977955654e-04
3.129708766937255859e-01	7.973222410976377520e-05
3.243930339813232422e-01	2.054542079016376255e-04
3.363549709320068359e-01	-7.010416534569802161e-05
3.486440181732177734e-01	1.840275326987232316e-04
3.603315353393554688e-01	2.617806418288939646e-05
3.723783493041992188e-01	-1.396970114737286386e-04
3.840765953063964844e-01	-9.423109908969696429e-05
3.962719440460205078e-01	-1.316964604937675965e-04
4.081737995147705078e-01	-9.425615525052010856e-05
4.193713665008544922e-01	-3.311802402043309457e-06
4.308824539184570312e-01	5.553012188329541326e-05
4.423511028289794922e-01	-9.696894187201561283e-05
4.542181491851806641e-01	-3.010141044589268209e-05
4.662427902221679688e-01	-3.278914090656505565e-05
4.780151844024658203e-01	4.651164336682433957e-06
4.900689125061035156e-01	1.250227433680347136e-04
5.019724369049072266e-01	1.009333938652710768e-04
5.134365558624267578e-01	1.678009252913940279e-04
5.252232551574707031e-01	-1.452102812796012823e-04
5.368876457214355469e-01	-8.369315461400118092e-05
5.484192371368408203e-01	-2.752643270892263832e-05
5.601263046264648438e-01	2.061468205537046424e-05
5.716214179992675781e-01	-1.586364055025546070e-04
5.837688446044921875e-01	2.292554115549368988e-04
5.956234931945800781e-01	2.613453120376627568e-04
6.070513725280761719e-01	1.917775220704552976e-04
6.188147068023681641e-01	-1.422558929008505028e-05
6.308512687683105469e-01	-5.169095069415567738e-05
6.426746845245361328e-01	-7.042989543639769094e-05
6.759347915649414062e-01	-6.509201875628585097e-05
6.874668598175048828e-01	1.970652864289196293e-04
6.990678310394287109e-01	-1.426979439446896989e-04
7.104949951171875000e-01	-9.188162680013522911e-05
7.222249507904052734e-01	-9.456935726080758912e-05
7.341105937957763672e-01	1.461863288823078884e-04
7.458443641662597656e-01	6.324252701379214623e-05
7.572653293609619141e-01	-6.325262953415343453e-06
7.689559459686279297e-01	3.914064943061635460e-05
7.808787822723388672e-01	5.250413325151241488e-05
7.926595211029052734e-01	4.337962326394950858e-06
8.044867515563964844e-01	-1.214090776263020361e-04
8.162159919738769531e-01	1.808762632628245254e-04
8.278996944427490234e-01	-4.117806237928303828e-05
8.397777080535888672e-01	1.766386190605690205e-05
8.515722751617431641e-01	-4.387832092036758705e-05
8.633735179901123047e-01	-1.713882519816450423e-05
8.748517036437988281e-01	8.718153955161809642e-05
8.867549896240234375e-01	4.436577338702466200e-05
8.984932899475097656e-01	-9.475727846698056805e-05
9.100601673126220703e-01	3.363990770515589291e-05
9.217414855957031250e-01	1.112082486523244485e-04
9.337792396545410156e-01	3.093964916407134413e-05
9.460544586181640625e-01	-6.525712239999283813e-06
9.578018188476562500e-01	7.371783108743067202e-05
9.709031581878662109e-01	1.325597553727706293e-04
9.821927547454833984e-01	-6.809295122724692481e-05
9.938168525695800781e-01	-3.035232887706615043e-04
1.005396127700805664e+00	9.506933780787563311e-05
1.017035245895385742e+00	-3.925678342207312960e-06
1.028650283813476562e+00	-1.109463016330756855e-04
1.041033267974853516e+00	1.399670257492351577e-06
1.052644014358520508e+00	6.024159454283229212e-05
