# Time(s)	Magnetic_Field(uT)
1.150441169738769531e-02	1.035544299124759444e-04
6.284356117248535156e-02	2.017809927001646471e-04
7.537508010864257812e-02	2.479960608768795485e-04
8.703804016113281250e-02	2.624263267913347808e-04
9.900307655334472656e-02	-1.970259137497373651e-04
1.105020046234130859e-01	3.989796800054470552e-05
1.225883960723876953e-01	4.565965147983783412e-05
1.344466209411621094e-01	-7.571787408991426625e-05
1.462295055389404297e-01	3.172404914932853526e-04
1.578021049499511719e-01	-4.107828730422911554e-05
1.700448989868164062e-01	-4.109565878171070693e-05
1.817853450775146484e-01	2.073863328821194891e-04
1.933934688568115234e-01	1.120145546178549534e-04
2.052180767059326172e-01	-1.365021800009397603e-04
2.169706821441650391e-01	1.553227238387021943e-04
2.289140224456787109e-01	-6.718826347460624896e-05
2.408139705657958984e-01	1.090555412295399098e-04
2.530324459075927734e-01	2.303983238443275061e-04
2.646472454071044922e-01	1.944544644456850619e-05
2.760951519012451172e-01	-1.134901890387317162e-04
2.878413200378417969e-01	6.564314314380310705e-05
2.995789051055908203e-01	6.851529914470755767e-05
3.112173080444335938e-01	1.937596053464081246e-05
3.228151798248291016e-01	9.159677601684325485e-05
3.349826335906982422e-01	6.268412975548804994e-05
3.470554351806640625e-01	1.551316375864007248e-04
3.585841655731201172e-01	7.131796923568564271e-05
3.702061176300048828e-01	8.285870767175348452e-05
3.817362785339355469e-01	2.157596002000905207e-04
3.932769298553466797e-01	1.666202615900237857e-04
4.057197570800781250e-01	-1.743613523371677896e-04
4.172275066375732422e-01	5.389394697795217728e-05
4.291341304779052734e-01	-1.368322380730952891e-04
4.413855075836181641e-01	-9.710400501532966090e-06
4.530155658721923828e-01	-1.059189543852476014e-06
4.648051261901855469e-01	2.156379998577167179e-04
4.770050048828125000e-01	2.734111779479824009e-04
4.883530139923095703e-01	1.202488501159706247e-04
4.999785423278808594e-01	-1.687212692002471222e-04
5.119805335998535156e-01	3.773820527374813195e-04
5.234751701354980469e-01	1.837663402080464694e-04
5.349330902099609375e-01	-6.763992188913558058e-05
5.466091632843017578e-01	2.068478170801821801e-04
5.583455562591552734e-01	9.124934646720611435e-05
5.703902244567871094e-01	3.344142542197597455e-05
5.826570987701416016e-01	-4.139803274541316274e-06
5.946631431579589844e-01	7.097053968604850221e-05
6.063861846923828125e-01	-2.729076605660340021e-05
6.185963153839111328e-01	2.558655553478764947e-04
6.304497718811035156e-01	2.038366892594210139e-04
6.426432132720947266e-01	-3.023240796743685915e-05
6.726448535919189453e-01	3.107144630047902899e-04
6.841070652008056641e-01	2.066741023053635963e-04
6.960153579711914062e-01	-1.140808192731164353e-04
7.075316905975341797e-01	-2.470164547564166813e-04
7.192392349243164062e-01	9.393041621581041010e-05
7.309448719024658203e-01	1.430350118709139624e-04
7.426786422729492188e-01	1.112328381311713805e-04
7.549703121185302734e-01	1.979012910053093422e-04
7.663846015930175781e-01	1.054190402194321564e-04
7.781391143798828125e-01	-1.286500570074257269e-04
7.905347347259521484e-01	2.447752786962284962e-05
8.021872043609619141e-01	7.122991521817086393e-06
8.142063617706298828e-01	9.957049935272974941e-05
8.266088962554931641e-01	9.955312787524816479e-05
8.378512859344482422e-01	1.110938663113160066e-04
8.495557308197021484e-01	1.861161552543884112e-05
8.615164756774902344e-01	1.859424404795593513e-05
8.740656375885009766e-01	1.486056090979056079e-04
8.858680725097656250e-01	-3.056246603959239809e-05
8.978409767150878906e-01	1.427918111861677119e-04
9.094717502593994141e-01	9.856175702867472617e-06
9.213018417358398438e-01	1.167513209257169441e-04
9.332072734832763672e-01	7.628056475081228564e-05
9.450149536132812500e-01	1.947338198872125049e-04
9.568338394165039062e-01	1.282573164068215896e-04
9.696369171142578125e-01	-1.334690151164070603e-05
9.817004203796386719e-01	-1.376139545597801766e-04
9.933254718780517578e-01	1.426528393663123245e-04
1.004803657531738281e+00	3.449023913759460954e-04
1.016475915908813477e+00	2.293039207629700026e-04
1.028072118759155273e+00	2.003912745016134559e-04
1.039455175399780273e+00	-2.211971281169498730e-05
1.051223516464233398e+00	9.055448736793053231e-05
1.063013315200805664e+00	1.916705776340065848e-04
1.074832677841186523e+00	1.194150191968409563e-04
1.086722850799560547e+00	1.742986698087179342e-04
1.098347425460815430e+00	9.096496279946230050e-07
1.109942674636840820e+00	9.335715745890860379e-05
1.121668815612792969e+00	9.333978598142700562e-05
1.134128332138061523e+00	-3.670632202348586353e-05
1.146006345748901367e+00	2.377814169458305961e-04
1.158085346221923828e+00	3.562346720822308290e-04
1.170055627822875977e+00	-3.964796393431931570e-05
1.182032108306884766e+00	1.279272583346660879e-04
